activation_id,selected_product,sensor,date_event,date_activation,date_i,date_map,date_diff,height_i,width_i,cs_i,area_total_i,area_burned_i,no_patches_total_i,no_patches_burned_i,px_total_i,px_nodata_i,perc_nodata_i,px_burned_i,perc_burned_i,perc_clouds_i,px_0_i,perc_0_i,area_0_i
EMSR180,Monitoring 1,SPOT6,10/9/2016,12/9/2016,15/09/2016,15/09/2016,5,18046,21845,EPSG:32635,886.9834575,65.601162,1504,227,394214870,20671560,5.243729136853716,29156072,7.395984834362032,1.00%,4296119,1.0897912095502638,9.66626775
EMSR224,Delineation Kalamos,SPOT6/7,11/8/2017,17/08/2017,18/08/2017,18/08/2017,7,8108,9801,EPSG:32634,178.799643,29.71365975,309,82,79466508,4784665,6.020983078808497,13206071,16.618411117297367,0.00%,0,0.0,0.0
EMSR300,Monitoring4/Grading Geraneia,SPOT6/7,23/07/2018,24/07/2018,30/07/2018,30/07/2018,7,9527,11552,EPSG:32634,247.625784,54.370944,437,141,110055904,18199368,16.53647586230358,24164864,21.95689928638449,5.60%,6681277,6.070802889411548,15.03287325
EMSR369,Grading Gavalas,SPOT6/8,4/7/2019,5/7/2019,6/7/2019,9/7/2019,2,4711,4349,EPSG:32634,46.09831275,5.4700875,88,21,20488139,1301122,6.350610955929184,2431150,11.866133864085947,3.00%,419594,2.047984934112366,0.9440865
EMSR455,Grading,SPOT6,22/08/2020,23/08/2020,25/08/2020,26/08/2020,3,7293,6852,EPSG:32634,112.436181,18.53909775,189,54,49971636,7597452,15.203528657736962,8239599,16.48855162556615,1.30%,543591,1.087799086665884,1.22307975
EMSR588,Grading,SPOT6/7,4/7/2022,5/7/2022,6/7/2022,6/7/2022,2,8494,7308,EPSG:32634,139.666842,12.15319725,212,44,62074152,13874420,22.351364542201075,5401421,8.701562286344242,0.00%,0,0.0,0.0
EMSR605,Grading,SPOT6,21/07/2022,22/07/2022,27/07/2022,27/07/2022,6,7573,8310,EPSG:32635,141.5961675,44.218881,255,110,62931630,3319171,5.274249212995119,19652836,31.22886853558377,0.00%,0,0.0,0.0
EMSR676,Grading,SPOT6/7,23/07/2023,,25/07/2023,26/07/2023,2,5037,5859,EPSG:32634,66.40151175,17.21855025,96,50,29511783,10281266,34.837834094944384,7652689,25.93096120285243,,0,0.0,0.0
EMSR686,Monitoring 8,SPOT6,19/08/2023,,2/9/2023,3/9/2023,14,35735,41506,EPSG:32635,3337.2380475,720.55175625,3005,1876,1483216910,746045308,50.29913716396342,320245225,21.59126037741843,,138405528,9.33144215568578,311.412438
